,Time,Temperatures,Populations,室外温度(C),产生CO2浓度(ppm),室内含热量(kJ),需求新风量(m3/h),热量调节需求(kW)
0,08:00,23.0,12,24.0,8228.57142857143,7384.8441,1180.5405405405404,740.7239567567568
1,08:10,23.1,12,24.1,8228.57142857143,7449.602100000001,1180.5405405405404,713.5255967567564
2,08:20,23.1,12,24.1,8228.57142857143,7449.602100000001,1180.5405405405404,713.5255967567564
3,08:30,23.4,16,24.4,10971.42857142857,7806.500099999999,1200.963855421687,635.3344025702816
4,08:40,23.5,16,24.5,10971.42857142857,7871.2581,1200.963855421687,608.1360425702812
5,08:50,23.6,16,24.6,10971.42857142857,7936.016100000001,1200.963855421687,580.9376825702807
6,09:00,24.0,20,25.0,13714.285714285714,8357.6721,1213.035143769968,474.15612396166136
7,09:10,24.1,20,25.1,13714.285714285714,8422.430100000001,1213.035143769968,446.957763961661
8,09:20,23.0,20,24.0,13714.285714285714,7710.0921,1213.035143769968,746.1397239616614
9,09:30,24.4,16,25.4,10971.42857142857,8454.0801,1200.963855421687,363.35080257028153
10,09:40,23.5,16,24.5,10971.42857142857,7871.2581,1200.963855421687,608.1360425702812
11,09:50,23.6,16,24.6,10971.42857142857,7936.016100000001,1200.963855421687,580.9376825702807
12,10:00,25.0,12,26.0,8228.57142857143,8680.0041,1180.5405405405404,196.75675675675674
13,10:10,25.0,12,26.0,8228.57142857143,8680.0041,1180.5405405405404,196.75675675675674
14,10:20,24.6,12,25.6,8228.57142857143,8420.9721,1180.5405405405404,305.55019675675635
15,10:30,24.4,12,25.4,8228.57142857143,8291.4561,1180.5405405405404,359.9469167567571
16,10:40,25.5,16,26.5,10971.42857142857,9166.4181,1200.963855421687,64.16884257028113
17,10:50,24.9,12,25.9,8228.57142857143,8615.2461,1180.5405405405404,223.95511675675712
18,11:00,25.5,12,26.5,8228.57142857143,9003.794100000001,1180.5405405405404,60.76495675675673
19,11:10,25.7,12,26.7,8228.57142857143,9133.310099999999,1180.5405405405404,6.368236756756943
20,11:20,25.3,15,26.3,10285.714285714286,8996.2461,1196.909871244635,117.88989854077232
21,11:30,26.0,15,27.0,10285.714285714286,9449.5521,1196.909871244635,-72.49862145922751
22,11:40,26.2,15,27.2,10285.714285714286,9579.0681,1196.909871244635,-126.8953414592273
23,11:50,26.6,12,27.6,8228.57142857143,9716.132100000003,1180.5405405405404,-238.4170032432436
